full_name,ID,player,Contracts
Isaiah Thomas,https://basketball.realgm.com/player/Isaiah-Thomas/summary/4711,http://www.wikidata.org/entity/Q336030,Unrestricted Free Agent (Charlotte Hornets)
Tiago Splitter,https://basketball.realgm.com/player/Tiago-Splitter/summary/373,http://www.wikidata.org/entity/Q352168,Unrestricted Free Agent
Samuel Dalembert,https://basketball.realgm.com/player/Samuel-Dalembert/summary/507,http://www.wikidata.org/entity/Q371821,Unrestricted Free Agent
Maciej Lampe,https://basketball.realgm.com/player/Maciej-Lampe/summary/466,http://www.wikidata.org/entity/Q541911,Unrestricted Free Agent
Pervis Ellison,https://basketball.realgm.com/player/Pervis-Ellison/summary/1310,http://www.wikidata.org/entity/Q180860,Unrestricted Free Agent
Walter Herrmann,https://basketball.realgm.com/player/Walter-Herrmann/summary/205,http://www.wikidata.org/entity/Q552489,Unrestricted Free Agent
Nando de Colo,https://basketball.realgm.com/player/Nando-de-Colo/summary/1651,http://www.wikidata.org/entity/Q554866,Unrestricted Free Agent
Shaun Livingston,https://basketball.realgm.com/player/Shaun-Livingston/summary/377,http://www.wikidata.org/entity/Q555264,Unrestricted Free Agent
Dwyane Wade,https://basketball.realgm.com/player/Dwyane-Wade/summary/450,http://www.wikidata.org/entity/Q31683,Unrestricted Free Agent (Miami Heat)
Jeffery Taylor,https://basketball.realgm.com/player/Jeffery-Taylor/summary/4807,http://www.wikidata.org/entity/Q48845,Unrestricted Free Agent
Kevin Garnett,https://basketball.realgm.com/player/Kevin-Garnett/summary/644,http://www.wikidata.org/entity/Q189240,Unrestricted Free Agent
Charles Barkley,https://basketball.realgm.com/player/Charles-Barkley/summary/1259,http://www.wikidata.org/entity/Q192707,Unrestricted Free Agent
Steve Nash,https://basketball.realgm.com/player/Steve-Nash/summary/615,http://www.wikidata.org/entity/Q192955,Unrestricted Free Agent
Baron Davis,https://basketball.realgm.com/player/Baron-Davis/summary/541,http://www.wikidata.org/entity/Q313486,Unrestricted Free Agent
Jermaine O'Neal,https://basketball.realgm.com/player/Jermaine-O'Neal/summary/238,http://www.wikidata.org/entity/Q313499,Unrestricted Free Agent
Luis Scola,https://basketball.realgm.com/player/Luis-Scola/summary/181,http://www.wikidata.org/entity/Q314071,Unrestricted Free Agent
Nikola Mirotić,https://basketball.realgm.com/player/Nikola-Mirotić/summary/9276,http://www.wikidata.org/entity/Q611560,Unrestricted Free Agent
Bo McCalebb,https://basketball.realgm.com/player/Bo-McCalebb/summary/1907,http://www.wikidata.org/entity/Q554889,Unrestricted Free Agent
Tito Horford,https://basketball.realgm.com/player/Tito-Horford/summary/2269,http://www.wikidata.org/entity/Q549048,Unrestricted Free Agent
Allen Iverson,https://basketball.realgm.com/player/Allen-Iverson/summary/603,http://www.wikidata.org/entity/Q190094,Unrestricted Free Agent
Tim Duncan,https://basketball.realgm.com/player/Tim-Duncan/summary/272,http://www.wikidata.org/entity/Q193020,Unrestricted Free Agent
Pau Gasol,https://basketball.realgm.com/player/Pau-Gasol/summary/515,http://www.wikidata.org/entity/Q193052,Unrestricted Free Agent
Scottie Pippen,https://basketball.realgm.com/player/Scottie-Pippen/summary/725,http://www.wikidata.org/entity/Q193637,Unrestricted Free Agent
Alonzo Mourning,https://basketball.realgm.com/player/Alonzo-Mourning/summary/742,http://www.wikidata.org/entity/Q310968,Unrestricted Free Agent
Kirk Hinrich,https://basketball.realgm.com/player/Kirk-Hinrich/summary/212,http://www.wikidata.org/entity/Q314413,Unrestricted Free Agent
Rik Smits,https://basketball.realgm.com/player/Rik-Smits/summary/892,http://www.wikidata.org/entity/Q374536,Unrestricted Free Agent
Mitch Richmond,https://basketball.realgm.com/player/Mitch-Richmond/summary/981,http://www.wikidata.org/entity/Q375767,Unrestricted Free Agent
Dick Van Arsdale,https://basketball.realgm.com/player/Dick-Van-Arsdale/summary/66046,http://www.wikidata.org/entity/Q1027929,Unrestricted Free Agent
Russell Westbrook,https://basketball.realgm.com/player/Russell-Westbrook/summary/759,http://www.wikidata.org/entity/Q196185,Under Contract (Los Angeles Clippers)
Karl Malone,https://basketball.realgm.com/player/Karl-Malone/summary/750,http://www.wikidata.org/entity/Q199896,Unrestricted Free Agent
Juan Carlos Navarro,https://basketball.realgm.com/player/Juan-Carlos-Navarro/summary/196,http://www.wikidata.org/entity/Q310541,Unrestricted Free Agent
Jerry West,https://basketball.realgm.com/player/Jerry-West/summary/65953,http://www.wikidata.org/entity/Q311195,Unrestricted Free Agent
Andrew Bogut,https://basketball.realgm.com/player/Andrew-Bogut/summary/58,http://www.wikidata.org/entity/Q311546,Unrestricted Free Agent (Golden State Warriors)
Joakim Noah,https://basketball.realgm.com/player/Joakim-Noah/summary/50,http://www.wikidata.org/entity/Q311735,Unrestricted Free Agent
Marcin Gortat,https://basketball.realgm.com/player/Marcin-Gortat/summary/145,http://www.wikidata.org/entity/Q358723,Unrestricted Free Agent
Rasho Nesterović,https://basketball.realgm.com/player/Rasho-Nesterović/summary/573,http://www.wikidata.org/entity/Q359370,Unrestricted Free Agent
Mirza Teletović,https://basketball.realgm.com/player/Mirza-Teletović/summary/28228,http://www.wikidata.org/entity/Q470698,Unrestricted Free Agent
Rudy Fernández,https://basketball.realgm.com/player/Rudy-Fernández/summary/371,http://www.wikidata.org/entity/Q312651,Unrestricted Free Agent
Earl Boykins,https://basketball.realgm.com/player/Earl-Boykins/summary/321,http://www.wikidata.org/entity/Q313473,Current Team: UTEP
Pablo Prigioni,https://basketball.realgm.com/player/Pablo-Prigioni/summary/2890,http://www.wikidata.org/entity/Q359401,Unrestricted Free Agent
Raül López,https://basketball.realgm.com/player/Raül-López/summary/506,http://www.wikidata.org/entity/Q360894,Unrestricted Free Agent
Richard Jefferson,https://basketball.realgm.com/player/Richard-Jefferson/summary/278,http://www.wikidata.org/entity/Q377693,Unrestricted Free Agent (Denver Nuggets)
David Andersen,https://basketball.realgm.com/player/David-Andersen/summary/485,http://www.wikidata.org/entity/Q363409,Unrestricted Free Agent
Fabricio Oberto,https://basketball.realgm.com/player/Fabricio-Oberto/summary/263,http://www.wikidata.org/entity/Q364321,Unrestricted Free Agent
Darius Songaila,https://basketball.realgm.com/player/Darius-Songaila/summary/222,http://www.wikidata.org/entity/Q380006,Unrestricted Free Agent
Igor Rakočević,https://basketball.realgm.com/player/Igor-Rakočević/summary/1160,http://www.wikidata.org/entity/Q380015,Unrestricted Free Agent
Tracy McGrady,https://basketball.realgm.com/player/Tracy-McGrady/summary/183,http://www.wikidata.org/entity/Q202295,Unrestricted Free Agent
Kevin Johnson,https://basketball.realgm.com/player/Kevin-Johnson/summary/1183,http://www.wikidata.org/entity/Q203286,Unrestricted Free Agent
Timofey Mozgov,https://basketball.realgm.com/player/Timofey-Mozgov/summary/11008,http://www.wikidata.org/entity/Q352668,Unrestricted Free Agent
Vassilis Spanoulis,https://basketball.realgm.com/player/Vassilis-Spanoulis/summary/405,http://www.wikidata.org/entity/Q364367,Unrestricted Free Agent
Jerry Lucas,https://basketball.realgm.com/player/Jerry-Lucas/summary/66071,http://www.wikidata.org/entity/Q366505,Unrestricted Free Agent
Luis Flores,https://basketball.realgm.com/player/Luis-Flores/summary/417,http://www.wikidata.org/entity/Q977666,Unrestricted Free Agent
Víctor Claver,https://basketball.realgm.com/player/Víctor-Claver/summary/1628,http://www.wikidata.org/entity/Q431301,Unrestricted Free Agent
Kevin Joyce,https://basketball.realgm.com/player/Kevin-Joyce/summary/66601,http://www.wikidata.org/entity/Q2331737,Unrestricted Free Agent
